game_id,team_name,team_KD_win,team_KD_loss
163202,DetonatioN FocusMe,,0.57
163203,Global Esports,1.33,
163203,Rex Regum Qeon,,0.75
163204,Global Esports,1.14,
163204,Rex Regum Qeon,,0.88
163206,Paper Rex,,0.80
163206,Team Secret,1.26,
163207,Paper Rex,,0.78
163207,Team Secret,1.26,
163209,T1,,0.99
163209,Talon Esports,1.01,
163210,T1,,0.86
163210,Talon Esports,1.16,
163212,Gen.G,1.35,
163212,ZETA DIVISION,,0.74
163213,Gen.G,1.06,
163213,ZETA DIVISION,,0.95
163215,DetonatioN FocusMe,,0.76
163215,Team Secret,1.31,
163216,DetonatioN FocusMe,1.06,
163216,Team Secret,,0.94
163217,DetonatioN FocusMe,,0.49
163217,Team Secret,2.03,
163218,Global Esports,,0.68
163218,Paper Rex,1.47,
163219,Global Esports,,0.84
163219,Paper Rex,1.19,
163221,BLEED,,0.72
163221,Paper Rex,1.38,
163222,BLEED,,0.72
163222,Paper Rex,1.38,
163224,DetonatioN FocusMe,0.99,
163224,Global Esports,,1.01
163225,DetonatioN FocusMe,,0.73
163225,Global Esports,1.37,
163226,DetonatioN FocusMe,,0.83
163226,Global Esports,1.21,
163227,T1,,1.04
163227,ZETA DIVISION,0.97,
163228,T1,1.13,
163228,ZETA DIVISION,,0.88
163229,T1,1.07,
163229,ZETA DIVISION,,0.94
163230,Talon Esports,,0.93
163230,Team Secret,1.08,
163231,Talon Esports,1.17,
163231,Team Secret,,0.86
163232,Talon Esports,1.17,
163232,Team Secret,,0.86
163233,BLEED,,0.95
163233,DRX,1.05,
163234,BLEED,,0.62
163234,DRX,1.60,
163236,Gen.G,1.50,
163236,Rex Regum Qeon,,0.67
163237,Gen.G,,0.85
163237,Rex Regum Qeon,1.18,
163238,Gen.G,,0.85
163238,Rex Regum Qeon,1.17,
163239,DRX,2.06,
163239,ZETA DIVISION,,0.47
163240,DRX,,0.93
163240,ZETA DIVISION,1.08,
163241,DRX,1.52,
163241,ZETA DIVISION,,0.66
163242,BLEED,1.12,
163242,Team Secret,,0.89
163243,BLEED,,0.89
163243,Team Secret,1.13,
163244,BLEED,,0.72
163244,Team Secret,1.39,
163245,Gen.G,1.02,
163245,T1,,0.98
163246,Gen.G,,0.63
163246,T1,1.58,
163247,Gen.G,1.01,
163247,T1,,0.97
163248,Paper Rex,1.66,
163248,Talon Esports,,0.60
163249,Paper Rex,1.19,
163249,Talon Esports,,0.84
163251,DetonatioN FocusMe,,0.77
163251,Rex Regum Qeon,1.29,
163252,DetonatioN FocusMe,,0.91
163252,Rex Regum Qeon,1.10,
163254,Global Esports,,0.84
163254,Team Secret,1.18,
163255,Global Esports,,0.84
163255,Team Secret,1.18,
163257,Rex Regum Qeon,,0.95
163257,Talon Esports,1.06,
163258,Rex Regum Qeon,1.14,
163258,Talon Esports,,0.88
163259,Rex Regum Qeon,,0.92
163259,Talon Esports,1.06,
163261,DRX,1.06,
163261,Paper Rex,,0.93
163262,DRX,,0.67
163262,Paper Rex,1.50,
163263,BLEED,,0.84
163263,Global Esports,1.20,
163264,BLEED,,0.83
163264,Global Esports,1.21,
163266,DetonatioN FocusMe,,0.85
163266,ZETA DIVISION,1.16,
163267,DetonatioN FocusMe,1.12,
163267,ZETA DIVISION,,0.89
163268,DetonatioN FocusMe,1.18,
163268,ZETA DIVISION,,0.85
163269,DRX,,0.75
163269,Rex Regum Qeon,1.34,
163270,DRX,,0.93
163270,Rex Regum Qeon,1.08,
163272,T1,1.17,
163272,Team Secret,,0.85
163273,T1,,0.81
163273,Team Secret,1.24,
163274,T1,,1.00
163274,Team Secret,0.98,
163275,DetonatioN FocusMe,,0.70
163275,Talon Esports,1.44,
163276,DetonatioN FocusMe,,0.92
163276,Talon Esports,1.09,
163278,Rex Regum Qeon,1.24,
163278,ZETA DIVISION,,0.79
163279,Rex Regum Qeon,1.03,
163279,ZETA DIVISION,,0.97
163281,Global Esports,0.96,
163281,T1,,1.04
163282,Global Esports,,0.80
163282,T1,1.25,
163283,Global Esports,,0.72
163283,T1,1.40,
163284,BLEED,,0.77
163284,Gen.G,1.29,
163285,BLEED,1.09,
163285,Gen.G,,0.92
163286,BLEED,,0.87
163286,Gen.G,1.15,
163287,DetonatioN FocusMe,,0.63
163287,Paper Rex,1.60,
163288,DetonatioN FocusMe,,0.90
163288,Paper Rex,1.12,
163290,DRX,,0.86
163290,Talon Esports,1.13,
163291,DRX,1.01,
163291,Talon Esports,,0.99
163292,DRX,1.19,
163292,Talon Esports,,0.83
163293,Paper Rex,1.06,
163293,Rex Regum Qeon,,0.95
163294,Paper Rex,,0.85
163294,Rex Regum Qeon,1.17,
163295,Paper Rex,1.07,
163295,Rex Regum Qeon,,0.94
163296,Gen.G,2.79,
163296,Global Esports,,0.36
163297,Gen.G,1.44,
163297,Global Esports,,0.70
163299,DRX,1.08,
163299,DetonatioN FocusMe,,0.93
163300,DRX,,0.72
163300,DetonatioN FocusMe,1.38,
163302,Talon Esports,,0.71
163302,ZETA DIVISION,1.40,
163303,Talon Esports,1.19,
163303,ZETA DIVISION,,0.84
163304,Talon Esports,,0.78
163304,ZETA DIVISION,1.28,
163305,Gen.G,,0.73
163305,Team Secret,1.37,
163306,Gen.G,1.27,
163306,Team Secret,,0.79
163307,Gen.G,,0.90
163307,Team Secret,1.10,
163308,Paper Rex,,0.88
163308,ZETA DIVISION,1.13,
163309,Paper Rex,1.60,
163309,ZETA DIVISION,,0.63
163310,Paper Rex,1.46,
163310,ZETA DIVISION,,0.68
163311,BLEED,,0.85
163311,T1,1.18,
163312,BLEED,1.06,
163312,T1,,0.94
163313,BLEED,,0.90
163313,T1,1.11,
163351,Cloud9,,0.74
163351,LEVIATÁN,1.34,
163352,Cloud9,1.28,
163352,LEVIATÁN,,0.77
163353,Cloud9,0.97,
163353,LEVIATÁN,,1.03
163354,LOUD,,1.02
163354,NRG Esports,0.98,
163355,LOUD,,0.61
163355,NRG Esports,1.64,
163357,Evil Geniuses,,0.85
163357,G2 Esports,1.17,
163358,Evil Geniuses,,0.56
163358,G2 Esports,1.80,
163360,100 Thieves,,0.90
163360,Sentinels,1.11,
163361,100 Thieves,,0.73
163361,Sentinels,1.38,
163363,FURIA,,0.87
163363,KRÜ Esports,1.15,
163364,FURIA,0.96,
163364,KRÜ Esports,,1.04
163365,FURIA,,0.63
163365,KRÜ Esports,1.59,
163366,100 Thieves,1.04,
163366,G2 Esports,,0.96
163367,100 Thieves,1.23,
163367,G2 Esports,,0.80
163369,LEVIATÁN,1.22,
163369,Sentinels,,0.82
163370,LEVIATÁN,1.11,
163370,Sentinels,,0.90
163372,KRÜ Esports,1.37,
163372,MIBR,,0.73
163373,KRÜ Esports,1.14,
163373,MIBR,,0.87
163375,FURIA,,0.55
163375,NRG Esports,1.82,
163376,FURIA,,0.86
163376,NRG Esports,1.16,
163378,Cloud9,,0.83
163378,Evil Geniuses,1.20,
163379,Cloud9,1.37,
163379,Evil Geniuses,,0.72
163380,Cloud9,1.64,
163380,Evil Geniuses,,0.61
163381,MIBR,,0.55
163381,Sentinels,1.80,
163382,MIBR,,0.69
163382,Sentinels,1.45,
163384,Cloud9,,1.05
163384,LOUD,0.95,
163385,Cloud9,1.53,
163385,LOUD,,0.65
163386,Cloud9,1.18,
163386,LOUD,,0.85
163387,Evil Geniuses,,0.69
163387,KRÜ Esports,1.45,
163388,Evil Geniuses,,0.76
163388,KRÜ Esports,1.32,
163390,LEVIATÁN,1.72,
163390,NRG Esports,,0.58
163391,LEVIATÁN,1.65,
163391,NRG Esports,,0.60
163393,FURIA,,0.57
163393,G2 Esports,1.76,
163394,FURIA,,0.51
163394,G2 Esports,1.95,
163396,100 Thieves,1.41,
163396,Cloud9,,0.71
163397,100 Thieves,1.71,
163397,Cloud9,,0.59
163399,Evil Geniuses,,0.95
163399,Sentinels,1.05,
163400,Evil Geniuses,1.12,
163400,Sentinels,,0.89
163401,Evil Geniuses,1.05,
163401,Sentinels,,0.95
163402,MIBR,,0.92
163402,NRG Esports,1.08,
163403,MIBR,,0.46
163403,NRG Esports,2.18,
163405,G2 Esports,,0.71
163405,LEVIATÁN,1.40,
163406,G2 Esports,1.13,
163406,LEVIATÁN,,0.88
163407,G2 Esports,,0.73
163407,LEVIATÁN,1.38,
163408,KRÜ Esports,1.17,
163408,LOUD,,0.85
163409,KRÜ Esports,1.28,
163409,LOUD,,0.78
163411,G2 Esports,1.14,
163411,MIBR,,0.88
163412,G2 Esports,1.52,
163412,MIBR,,0.66
163414,LOUD,1.38,
163414,Sentinels,,0.72
163415,LOUD,1.14,
163415,Sentinels,,0.88
163417,Cloud9,,0.63
163417,FURIA,1.60,
163418,Cloud9,1.66,
163418,FURIA,,0.60
163419,Cloud9,1.25,
163419,FURIA,,0.80
163420,Evil Geniuses,1.38,
163420,NRG Esports,,0.72
163421,Evil Geniuses,,0.94
163421,NRG Esports,1.06,
163422,Evil Geniuses,1.20,
163422,NRG Esports,,0.83
163423,100 Thieves,,0.79
163423,KRÜ Esports,1.27,
163424,100 Thieves,1.23,
163424,KRÜ Esports,,0.81
163425,100 Thieves,,0.89
163425,KRÜ Esports,1.12,
163426,FURIA,,0.86
163426,Sentinels,1.14,
163427,FURIA,,0.77
163427,Sentinels,1.30,
163429,100 Thieves,1.38,
163429,NRG Esports,,0.72
163430,100 Thieves,1.48,
163430,NRG Esports,,0.67
163432,KRÜ Esports,,0.68
163432,LEVIATÁN,1.48,
163433,KRÜ Esports,1.06,
