game_id,team_name,team_KD,win
163304,ZETA DIVISION,1.28,1
163305,Team Secret,1.37,1
163306,Gen.G,1.27,1
163307,Team Secret,1.1,1
163308,ZETA DIVISION,1.13,1
163309,Paper Rex,1.6,1
163310,Paper Rex,1.46,1
163311,T1,1.18,1
163312,BLEED,1.06,1
163313,T1,1.11,1
163351,LEVIATÁN,1.34,1
163352,Cloud9,1.28,1
163353,Cloud9,0.97,1
163354,NRG Esports,0.98,1
163355,NRG Esports,1.64,1
163357,G2 Esports,1.17,1
163358,G2 Esports,1.8,1
163360,Sentinels,1.11,1
163361,Sentinels,1.38,1
163363,KRÜ Esports,1.15,1
163364,FURIA,0.96,1
163365,KRÜ Esports,1.59,1
163366,100 Thieves,1.04,1
163367,100 Thieves,1.23,1
163369,LEVIATÁN,1.22,1
163370,LEVIATÁN,1.11,1
163372,KRÜ Esports,1.37,1
163373,KRÜ Esports,1.14,1
163375,NRG Esports,1.82,1
163376,NRG Esports,1.16,1
163378,Evil Geniuses,1.2,1
163379,Cloud9,1.37,1
163380,Cloud9,1.64,1
163381,Sentinels,1.8,1
163382,Sentinels,1.45,1
163384,LOUD,0.95,1
163385,Cloud9,1.53,1
163386,Cloud9,1.18,1
163387,KRÜ Esports,1.45,1
163388,KRÜ Esports,1.32,1
163390,LEVIATÁN,1.72,1
163391,LEVIATÁN,1.65,1
163393,G2 Esports,1.76,1
163394,G2 Esports,1.95,1
163396,100 Thieves,1.41,1
163397,100 Thieves,1.71,1
163399,Sentinels,1.05,1
163400,Evil Geniuses,1.12,1
163401,Evil Geniuses,1.05,1
163402,NRG Esports,1.08,1
163403,NRG Esports,2.18,1
163405,LEVIATÁN,1.4,1
163406,G2 Esports,1.13,1
163407,LEVIATÁN,1.38,1
163408,KRÜ Esports,1.17,1
163409,KRÜ Esports,1.28,1
163411,G2 Esports,1.14,1
163412,G2 Esports,1.52,1
163414,LOUD,1.38,1
163415,LOUD,1.14,1
163417,FURIA,1.6,1
163418,Cloud9,1.66,1
163419,Cloud9,1.25,1
163420,Evil Geniuses,1.38,1
163421,NRG Esports,1.06,1
163422,Evil Geniuses,1.2,1
163423,KRÜ Esports,1.27,1
163424,100 Thieves,1.23,1
163425,KRÜ Esports,1.12,1
163426,Sentinels,1.14,1
163427,Sentinels,1.3,1
163429,100 Thieves,1.38,1
163430,100 Thieves,1.48,1
163432,LEVIATÁN,1.48,1
163433,KRÜ Esports,1.06,1
163434,LEVIATÁN,0.99,1
163435,Cloud9,1.16,1
163436,Cloud9,1.26,1
163438,LOUD,1.13,1
163439,LOUD,1.62,1
163448,Paper Rex,1.14,1
164091,Karmine Corp,1.53,1
164092,Karmine Corp,1.11,1
164094,Team Liquid,1.21,1
164095,Team Liquid,1.22,1
164097,Natus Vincere,0.99,1
164098,Natus Vincere,1.47,1
164100,Team Heretics,1.46,1
164101,Team Heretics,0.96,1
164103,FUT Esports,1.31,1
164104,FUT Esports,1.11,1
164106,Gentle Mates,1.21,1
164107,Gentle Mates,1.07,1
164109,Karmine Corp,1.05,1
164110,FUT Esports,1.37,1
164111,FUT Esports,1.28,1
164112,Team Vitality,1.04,1
164113,Team Heretics,1.07,1
164114,Team Vitality,1.23,1
164115,Team Liquid,1.16,1
164116,Natus Vincere,1.05,1
164117,Natus Vincere,1.35,1
164118,BBL Esports,1.47,1
164119,BBL Esports,1.45,1
164121,FNATIC,1.45,1
164122,GIANTX,1.63,1
164123,FNATIC,1.49,1
164124,Karmine Corp,1.44,1
164125,Karmine Corp,1.41,1
164127,FNATIC,1.5,1
164128,FNATIC,1.78,1
164130,Karmine Corp,1.19,1
164131,Natus Vincere,1.13,1
164132,Natus Vincere,1.19,1
164133,BBL Esports,1.34,1
164134,BBL Esports,1.18,1
164136,FUT Esports,1.27,1
164137,Team Vitality,1.11,1
164138,Team Vitality,1.2,1
164139,GIANTX,1.02,1
164140,Team Liquid,1.22,1
164141,Team Liquid,1.1,1
164142,FNATIC,1.07,1
164143,FNATIC,1.56,1
164145,Team Heretics,1.97,1
164146,Team Heretics,1.29,1
164148,Gentle Mates,1.39,1
164149,Gentle Mates,1.33,1
164151,FUT Esports,1.27,1
164152,FUT Esports,0.95,1
164154,Natus Vincere,1.31,1
164155,BBL Esports,1.18,1
164156,BBL Esports,1.05,1
164157,GIANTX,1.06,1
164158,Team Vitality,1.45,1
164159,Team Vitality,1.33,1
164160,Karmine Corp,1.31,1
164161,KOI,1.17,1
164162,Karmine Corp,1.14,1
164163,GIANTX,1.29,1
164164,GIANTX,1.09,1
164166,Team Heretics,1.02,1
164167,Karmine Corp,1.79,1
164168,Team Heretics,1.2,1
164169,KOI,1.67,1
164170,Team Vitality,1.15,1
164171,KOI,1.73,1
164172,FNATIC,1.41,1
164173,Natus Vincere,1.04,1
164174,Natus Vincere,1.69,1
164175,Team Liquid,1.32,1
164176,Team Liquid,1.86,1
164178,FUT Esports,1.24,1
164179,FUT Esports,1.56,1
167267,T1,1.21,1
167268,T1,1.12,1
167272,Paper Rex,1.18,1
167273,T1,1.15,1
167274,Gen.G,1.34,1
167275,T1,1.07,1
167276,Paper Rex,1.35,1
167277,DRX,1.06,1
167278,Paper Rex,1.43,1
167279,DRX,1.06,1
167280,Gen.G,1.13,1
167281,Gen.G,1.23,1
167282,Paper Rex,1.52,1
167283,Paper Rex,1.47,1
167285,Gen.G,2.12,1
167286,Gen.G,0.97,1
167287,Gen.G,1.08,1
167290,Gen.G,1.11,1
167291,Paper Rex,1.11,1
167292,Paper Rex,1.06,1
167293,Gen.G,1.13,1
167294,Paper Rex,1.38,1
168972,G2 Esports,1.22,1
168973,G2 Esports,1.23,1
168975,100 Thieves,1.21,1
168976,100 Thieves,1.78,1
